0 [95, 43, 119]
0 [129, 150, 17]
0 [74, 18, 95]
0 [97, 13, 101]
0 [129, 149, 31]
0 [108, 38, 71]
0 [47, 109, 77]
0 [123, 21, 126]
0 [123, 92, 54]
0 [73, 2, 89]
0 [36, 83, 116]
0 [96, 2, 118]
0 [0, 66, 87]
0 [105, 14, 113]
0 [19, 147, 151]
0 [120, 41, 72]
0 [0, 144, 138]
0 [114, 74, 38]
0 [113, 75, 37]
0 [79, 12, 103]
0 [8, 82, 127]
0 [90, 36, 86]
0 [74, 114, 18]
0 [129, 58, 150]
0 [160, 137, 7]
0 [68, 91, 44]
0 [98, 115, 37]
0 [32, 96, 118]
0 [114, 108, 38]
0 [74, 43, 95]
0 [81, 106, 4]
0 [120, 41, 93]
0 [72, 157, 135]
0 [8, 40, 69]
0 [83, 116, 62]
0 [103, 143, 79]
0 [121, 130, 76]
0 [145, 23, 63]
0 [107, 52, 159]
0 [43, 158, 119]
0 [3, 134, 70]
0 [0, 66, 133]
0 [57, 148, 100]
0 [11, 148, 71]
0 [26, 139, 77]
0 [51, 155, 117]
0 [9, 158, 119]
0 [114, 53, 166]
0 [28, 155, 100]
0 [66, 35, 133]
0 [112, 130, 20]
0 [153, 3, 125]
0 [4, 106, 132]
0 [128, 81, 58]
0 [44, 70, 134]
0 [48, 138, 84]
0 [121, 130, 20]
0 [147, 77, 47]
0 [104, 140, 22]
0 [97, 13, 149]
0 [26, 107, 139]
0 [26, 139, 109]
0 [48, 154, 84]
0 [152, 27, 124]
0 [96, 73, 2]
0 [88, 101, 13]
0 [161, 29, 143]
0 [113, 75, 14]
0 [120, 93, 30]
0 [161, 162, 73]
0 [56, 42, 132]
0 [11, 108, 53]
0 [0, 138, 133]
0 [56, 99, 22]
0 [1, 98, 115]
0 [97, 149, 31]
0 [72, 131, 157]
0 [154, 84, 151]
0 [16, 116, 62]
0 [56, 99, 132]
0 [122, 140, 22]
0 [8, 127, 47]
0 [40, 112, 69]
0 [88, 35, 101]
0 [146, 75, 37]
0 [64, 52, 159]
0 [8, 82, 69]
0 [65, 164, 25]
0 [139, 77, 109]
0 [144, 49, 80]
0 [126, 21, 78]
0 [3, 68, 134]
0 [57, 155, 100]
0 [107, 52, 149]
0 [161, 89, 55]
0 [146, 98, 37]
0 [72, 131, 30]
0 [104, 57, 140]
0 [55, 143, 103]
0 [81, 106, 31]
0 [130, 76, 45]
0 [48, 80, 138]
0 [26, 107, 159]
0 [164, 36, 111]
0 [81, 58, 31]
0 [145, 158, 63]
0 [153, 45, 70]
0 [117, 6, 135]
0 [144, 49, 87]
0 [72, 51, 135]
0 [160, 90, 7]
0 [122, 99, 42]
0 [155, 28, 117]
0 [144, 80, 0]
0 [51, 117, 135]
0 [108, 53, 38]
0 [25, 91, 164]
0 [18, 114, 166]
0 [0, 144, 87]
0 [120, 41, 12]
0 [120, 41, 93]
0 [120, 12, 93]
0 [41, 12, 93]
0 [83, 27, 124]
0 [83, 27, 62]
0 [83, 124, 62]
0 [27, 124, 62]
0 [1, 115, 92]
0 [1, 115, 54]
0 [1, 92, 54]
0 [115, 92, 54]
0 [145, 43, 158]
0 [145, 43, 63]
0 [145, 158, 63]
0 [43, 158, 63]
0 [104, 57, 100]
0 [104, 57, 28]
0 [104, 100, 28]
0 [57, 100, 28]
0 [129, 52, 150]
0 [129, 52, 17]
0 [129, 150, 17]
0 [52, 150, 17]
0 [41, 12, 93]
0 [41, 12, 79]
0 [41, 93, 79]
0 [12, 93, 79]
0 [144, 0, 138]
0 [144, 0, 80]
0 [144, 138, 80]
0 [0, 138, 80]
0 [114, 108, 53]
0 [114, 108, 38]
0 [114, 53, 38]
0 [108, 53, 38]
0 [153, 3, 70]
0 [153, 3, 134]
0 [153, 70, 134]
0 [3, 70, 134]
0 [153, 130, 76]
0 [153, 130, 45]
0 [153, 76, 45]
0 [130, 76, 45]
0 [152, 59, 124]
0 [152, 59, 163]
0 [152, 124, 163]
0 [59, 124, 163]
0 [122, 99, 140]
0 [122, 99, 22]
0 [122, 140, 22]
0 [99, 140, 22]
0 [113, 146, 75]
0 [113, 146, 37]
0 [113, 75, 37]
0 [146, 75, 37]
0 [47, 147, 109]
0 [47, 147, 77]
0 [47, 109, 77]
0 [147, 109, 77]
0 [72, 120, 131]
0 [72, 120, 30]
0 [72, 131, 30]
0 [120, 131, 30]
0 [26, 139, 109]
0 [26, 139, 77]
0 [26, 109, 77]
0 [139, 109, 77]
0 [108, 11, 148]
0 [108, 11, 71]
0 [108, 148, 71]
0 [11, 148, 71]
0 [44, 91, 68]
0 [44, 91, 134]
0 [44, 68, 134]
0 [91, 68, 134]
0 [28, 51, 155]
0 [28, 51, 117]
0 [28, 155, 117]
0 [51, 155, 117]
0 [56, 132, 106]
0 [56, 132, 4]
0 [56, 106, 4]
0 [132, 106, 4]
0 [19, 147, 77]
0 [19, 147, 47]
0 [19, 77, 47]
0 [147, 77, 47]
0 [129, 58, 31]
0 [129, 58, 81]
0 [129, 31, 81]
0 [58, 31, 81]
0 [144, 49, 0]
0 [144, 49, 87]
0 [144, 0, 87]
0 [49, 0, 87]
0 [142, 78, 46]
0 [142, 78, 21]
0 [142, 46, 21]
0 [78, 46, 21]
0 [119, 43, 158]
0 [119, 43, 63]
0 [119, 158, 63]
0 [43, 158, 63]
0 [161, 162, 29]
0 [161, 162, 143]
0 [161, 29, 143]
0 [162, 29, 143]
0 [129, 52, 149]
0 [129, 52, 31]
0 [129, 149, 31]
0 [52, 149, 31]
0 [72, 157, 6]
0 [72, 157, 135]
0 [72, 6, 135]
0 [157, 6, 135]
0 [57, 122, 140]
0 [57, 122, 148]
0 [57, 140, 148]
0 [122, 140, 148]
0 [65, 164, 116]
0 [65, 164, 36]
0 [65, 116, 36]
0 [164, 116, 36]
0 [0, 66, 133]
0 [0, 66, 87]
0 [0, 133, 87]
0 [66, 133, 87]
0 [154, 19, 84]
0 [154, 19, 151]
0 [154, 84, 151]
0 [19, 84, 151]
0 [98, 115, 37]
0 [98, 115, 146]
0 [98, 37, 146]
0 [115, 37, 146]
0 [65, 91, 164]
0 [65, 91, 25]
0 [65, 164, 25]
0 [91, 164, 25]
0 [16, 136, 116]
0 [16, 136, 65]
0 [16, 116, 65]
0 [136, 116, 65]
