1
1 12 29 1
1 25 28 1
1 6 14 1
1 4 14 1
1 25 20 1
1 17 31 1
1 26 12 1
1 11 28 1
1 5 29 1
1 8 17 1
1 0 26 1
1 10 23 1
1 9 23 1
1 0 34 1
1 24 10 1
1 8 38 1
1 11 36 1
1 27 38 1
1 16 37 1
1 17 39 1
1 3 27 1
1 18 3 1
1 4 22 1
1 28 5 1
2 18 38 31 1
2 24 6 15 1
2 1 36 20 1
2 16 33 3 1
2 24 34 15 1
2 1 19 36 1
2 32 13 22 1
2 32 9 21 1
2 35 19 37 1
2 35 19 7 1
2 35 37 7 1
2 19 37 7 1
2 2 21 30 1
2 2 21 39 1
2 2 30 39 1
2 21 30 39 1
2 32 21 30 1
2 32 21 13 1
2 32 30 13 1
2 21 30 13 1
2 25 28 5 2
2 16 37 7 2
2 8 17 31 3
2 8 18 38 3
2 8 18 31 3
2 8 38 31 3
2 18 38 31 3
2 0 34 15 4
2 18 27 38 4
2 8 17 39 4
2 3 18 27 4
2 28 5 29 6
2 1 19 35 7
2 16 33 7 7
2 25 11 20 8
2 25 11 28 8
2 20 11 36 8
2 32 9 23 9
2 17 2 39 10
2 8 17 31 13
2 8 17 39 13
2 8 31 39 13
2 17 31 39 13
2 16 33 37 14
2 16 33 7 14
2 16 37 7 14
2 33 37 7 14
2 16 3 27 14
2 16 3 33 14
2 16 27 33 14
2 3 27 33 14
2 32 9 22 15
2 32 9 23 15
2 32 22 23 15
2 9 22 23 15
2 17 2 21 18
2 17 2 39 18
2 17 21 39 18
2 2 21 39 18
2 25 11 36 18
2 25 11 20 18
2 25 36 20 18
2 11 36 20 18
2 8 17 21 18
2 8 17 39 18
2 8 21 39 18
2 17 21 39 18
2 1 19 36 18
2 1 19 35 18
2 1 36 35 18
2 19 36 35 18
2 8 17 39 21
2 8 17 21 21
2 8 17 31 21
2 8 39 21 21
2 8 39 31 21
2 8 21 31 21
2 17 39 21 21
2 17 39 31 21
2 17 21 31 21
2 39 21 31 21
2 0 26 12 22
2 12 5 29 24
2 3 18 27 24
2 3 18 38 24
2 3 27 38 24
2 18 27 38 24
2 24 34 6 24
2 24 34 15 24
2 24 6 15 24
2 34 6 15 24
2 32 9 13 24
2 32 9 22 24
2 32 13 22 24
2 9 13 22 24
2 32 9 21 24
2 32 9 30 24
2 32 9 13 24
2 32 21 30 24
2 32 21 13 24
2 32 30 13 24
2 9 21 30 24
2 9 21 13 24
2 9 30 13 24
2 21 30 13 24
2 24 10 34 25
2 26 12 29 26
