36: tau = 0.0056670085036 (samples), embed_crop = [2.00000, 2.30000] (seconds) 
37: tau = 0.00600398636498 (samples), embed_crop = [2.00000, 2.30000] (seconds) 
38: tau = 0.00636100197273 (samples), embed_crop = [2.00000, 2.30000] (seconds) 
39: tau = 0.00673924683326 (samples), embed_crop = [2.00000, 2.30000] (seconds) 
40: tau = 0.00713998330361 (samples), embed_crop = [2.00000, 2.30000] (seconds) 
41: tau = 0.00756454880452 (samples), embed_crop = [2.00000, 2.30000] (seconds) 
42: tau = 0.00801436028387 (samples), embed_crop = [2.00000, 2.30000] (seconds) 
43: tau = 0.00849091894566 (samples), embed_crop = [2.00000, 2.30000] (seconds) 
44: tau = 0.00899581526012 (samples), embed_crop = [2.00000, 2.30000] (seconds) 
45: tau = 0.00953073427177 (samples), embed_crop = [2.00000, 2.30000] (seconds) 
46: tau = 0.0100974612231 (samples), embed_crop = [2.00000, 2.30000] (seconds) 
47: tau = 0.0106978875126 (samples), embed_crop = [2.00000, 2.30000] (seconds) 
48: tau = 0.0113340170072 (samples), embed_crop = [2.00000, 2.30000] (seconds) 
49: tau = 0.01200797273 (samples), embed_crop = [2.00000, 2.30000] (seconds) 
50: tau = 0.0127220039455 (samples), embed_crop = [2.00000, 2.30000] (seconds) 
51: tau = 0.0134784936665 (samples), embed_crop = [2.00000, 2.30000] (seconds) 
52: tau = 0.0142799666072 (samples), embed_crop = [2.00000, 2.30000] (seconds) 
53: tau = 0.015129097609 (samples), embed_crop = [2.00000, 2.30000] (seconds) 
54: tau = 0.0160287205677 (samples), embed_crop = [2.00000, 2.30000] (seconds) 
55: tau = 0.0169818378913 (samples), embed_crop = [2.00000, 2.30000] (seconds) 
56: tau = 0.0179916305202 (samples), embed_crop = [2.00000, 2.30000] (seconds) 
57: tau = 0.0190614685435 (samples), embed_crop = [2.00000, 2.30000] (seconds) 
58: tau = 0.0201949224462 (samples), embed_crop = [2.00000, 2.30000] (seconds) 
59: tau = 0.0213957750252 (samples), embed_crop = [2.00000, 2.30000] (seconds) 
60: tau = 0.0226680340144 (samples), embed_crop = [2.00000, 2.30000] (seconds) 
61: tau = 0.0240159454599 (samples), embed_crop = [2.00000, 2.30000] (seconds) 
62: tau = 0.0254440078909 (samples), embed_crop = [2.00000, 2.30000] (seconds) 
63: tau = 0.026956987333 (samples), embed_crop = [2.00000, 2.30000] (seconds) 
